"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"05/01/2025";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"05/01/2025";"0400";"20,7";"";"";"78,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"05/01/2025";"0500";"20,0";"";"";"80,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"05/01/2025";"0600";"18,9";"";"";"81,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"05/01/2025";"0700";"18,9";"";"";"78,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"05/01/2025";"0800";"18,3";"";"";"81,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"05/01/2025";"0900";"17,8";"";"";"83,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"05/01/2025";"1000";"18,0";"";"";"82,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"05/01/2025";"1100";"20,7";"";"";"73,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"05/01/2025";"1200";"24,0";"";"";"61,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"05/01/2025";"1300";"24,8";"";"";"61,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"05/01/2025";"1400";"25,9";"";"";"55,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"05/01/2025";"1500";"26,6";"";"";"50,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"05/01/2025";"1600";"27,7";"";"";"48,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"05/01/2025";"1700";"27,5";"";"";"48,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"05/01/2025";"1800";"28,5";"";"";"44,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
